纬度,日期,时间,经度,海拔,速度,地面航向
4047.7,100517,'013654,11141.695,1057,000.0,347.2
4047.7,100517,'013655,11141.695,1057,000.0,347.2
4047.7,100517,'013656,11141.695,1057,000.0,347.2
4047.7,100517,'013657,11141.695,1057,000.0,347.2
4047.7,100517,'013658,11141.695,1057,000.0,347.2
4047.7,100517,'013659,11141.695,1057,000.0,347.2
4047.7,100517,'013700,11141.695,1057,000.0,347.2
4047.7,100517,'013701,11141.695,1057,000.0,347.2
4047.7,100517,'013702,11141.695,1057,000.0,347.2
4047.7,100517,'013703,11141.695,1057,000.0,347.2
4047.7,100517,'013704,11141.695,1057,000.0,347.2
4047.7,100517,'013705,11141.691,1053,003.5,343.1
4047.7,100517,'013706,11141.690,1053,007.8,342.6
4047.7,100517,'013707,11141.688,1054,011.0,339.3
4047.7,100517,'013708,11141.687,1054,013.0,340.1
4047.7,100517,'013709,11141.685,1054,014.8,339.4
4047.7,100517,'013710,11141.682,1054,015.9,338.5
4047.7,100517,'013711,11141.680,1054,016.0,337.7
4047.7,100517,'013712,11141.678,1054,016.2,338.3
4047.7,100517,'013713,11141.676,1055,017.8,338.1
4047.7,100517,'013714,11141.673,1055,018.1,338.6
4047.7,100517,'013715,11141.670,1056,019.6,338.8
4047.7,100517,'013716,11141.668,1056,020.3,338.1
4047.7,100517,'013717,11141.665,1056,020.1,338.9
4047.7,100517,'013718,11141.663,1056,020.0,340.1
4047.7,100517,'013719,11141.660,1057,020.8,341.3
4047.7,100517,'013720,11141.658,1057,021.8,342.9
4047.7,100517,'013721,11141.656,1057,022.9,344.0
4047.8,100517,'013722,11141.653,1058,023.5,343.0
4047.8,100517,'013723,11141.650,1059,023.8,343.2
4047.8,100517,'013724,11141.648,1059,023.1,343.9
4047.8,100517,'013725,11141.646,1060,020.1,345.0
4047.8,100517,'013726,11141.645,1060,015.3,346.2
4047.8,100517,'013727,11141.644,1060,012.5,346.7
4047.8,100517,'013728,11141.642,1060,010.5,345.8
4047.8,100517,'013729,11141.641,1060,008.3,344.2
4047.8,100517,'013730,11141.640,1060,006.9,342.0
4047.8,100517,'013731,11141.639,1061,006.6,339.9
4047.8,100517,'013732,11141.638,1061,008.6,337.9
4047.8,100517,'013733,11141.637,1061,011.8,337.2
4047.8,100517,'013734,11141.635,1061,014.5,337.4
4047.8,100517,'013735,11141.633,1061,015.4,338.2
4047.8,100517,'013736,11141.630,1061,017.5,339.2
4047.8,100517,'013737,11141.628,1061,018.4,339.8
4047.8,100517,'013738,11141.626,1061,018.4,340.5
4047.8,100517,'013739,11141.623,1061,019.0,341.4
4047.8,100517,'013740,11141.621,1062,018.7,342.5
4047.8,100517,'013741,11141.619,1062,018.7,343.4
4047.8,100517,'013742,11141.617,1062,019.3,343.7
4047.8,100517,'013743,11141.615,1062,019.8,343.1
4047.8,100517,'013744,11141.612,1062,019.5,341.8
4047.8,100517,'013745,11141.610,1062,019.0,340.4
4047.9,100517,'013746,11141.607,1062,018.7,339.8
4047.9,100517,'013747,11141.605,1062,019.0,339.3
4047.9,100517,'013748,11141.603,1062,017.5,339.9
4047.9,100517,'013749,11141.601,1062,016.6,340.6
4047.9,100517,'013750,11141.599,1063,015.5,340.9
4047.9,100517,'013751,11141.597,1063,014.4,340.9
4047.9,100517,'013752,11141.594,1064,013.3,340.4
4047.9,100517,'013753,11141.593,1064,012.3,339.6
4047.9,100517,'013754,11141.591,1064,011.1,339.0
4047.9,100517,'013755,11141.590,1064,009.8,338.7
4047.9,100517,'013756,11141.589,1063,009.5,338.4
4047.9,100517,'013757,11141.587,1063,010.2,344.7
4047.9,100517,'013758,11141.587,1063,010.0,344.9
4047.9,100517,'013759,11141.586,1063,008.6,347.4
4047.9,100517,'013800,11141.586,1062,007.9,354.1
4047.9,100517,'013801,11141.585,1062,008.6,353.3
4047.9,100517,'013802,11141.584,1062,009.3,352.4
4047.9,100517,'013803,11141.583,1062,008.0,351.4
4047.9,100517,'013804,11141.582,1062,006.9,350.5
4047.9,100517,'013805,11141.582,1062,004.5,349.3
4047.9,100517,'013806,11141.581,1062,003.2,345.4
4047.9,100517,'013807,11141.582,1063,002.2,345.4
4047.9,100517,'013808,11141.581,1063,000.1,345.4
4047.9,100517,'013809,11141.581,1063,000.0,345.4
4047.9,100517,'013810,11141.580,1064,000.0,345.4
4047.9,100517,'013811,11141.580,1064,000.0,345.4
4047.9,100517,'013812,11141.580,1064,000.0,345.4
4047.9,100517,'013813,11141.580,1064,000.0,345.4
4047.9,100517,'013814,11141.580,1064,000.0,345.4
4047.9,100517,'013815,11141.580,1064,000.0,345.4
4047.9,100517,'013816,11141.580,1064,000.0,345.4
4047.9,100517,'013817,11141.580,1064,000.0,345.4
4047.9,100517,'013818,11141.580,1064,000.0,345.4
4047.9,100517,'013819,11141.580,1064,001.6,345.4
4047.9,100517,'013820,11141.579,1064,002.5,345.4
4047.9,100517,'013821,11141.579,1064,002.9,337.4
4047.9,100517,'013822,11141.579,1064,002.2,340.6
4047.9,100517,'013823,11141.578,1064,000.8,341.4
4047.9,100517,'013824,11141.578,1064,000.0,341.4
4047.9,100517,'013825,11141.578,1064,000.0,341.4
4047.9,100517,'013826,11141.578,1064,000.0,341.4
4047.9,100517,'013827,11141.578,1064,000.0,341.4
4047.9,100517,'013828,11141.578,1064,000.0,341.4
4047.9,100517,'013829,11141.578,1064,000.0,341.4
4047.9,100517,'013830,11141.578,1064,000.0,341.4
4047.9,100517,'013831,11141.578,1064,000.0,341.4
4047.9,100517,'013832,11141.578,1064,000.0,341.4
4047.9,100517,'013833,11141.578,1064,000.0,341.4
4047.9,100517,'013834,11141.578,1064,000.0,341.4
4047.9,100517,'013835,11141.578,1064,000.0,341.4
4047.9,100517,'013836,11141.578,1064,000.0,341.4
4047.9,100517,'013837,11141.578,1064,001.2,335.6
4047.9,100517,'013838,11141.578,1064,001.6,338.4
4047.9,100517,'013839,11141.578,1064,001.4,345.1
4047.9,100517,'013840,11141.577,1064,001.5,344.4
4047.9,100517,'013841,11141.577,1064,001.7,343.8
4047.9,100517,'013842,11141.577,1064,001.5,346.0
4047.9,100517,'013843,11141.577,1064,001.0,348.3
4047.9,100517,'013844,11141.577,1064,000.7,356.5
4047.9,100517,'013845,11141.577,1064,000.4,356.5
4047.9,100517,'013846,11141.577,1063,000.4,356.5
4047.9,100517,'013847,11141.577,1063,000.5,351.0
4047.9,100517,'013848,11141.577,1063,000.7,338.0
4047.9,100517,'013849,11141.577,1063,001.0,334.6
4047.9,100517,'013850,11141.577,1063,000.6,351.2
4047.9,100517,'013851,11141.577,1063,000.0,351.2
4047.9,100517,'013852,11141.577,1063,000.0,351.2
4047.9,100517,'013853,11141.577,1063,000.0,351.2
4047.9,100517,'013854,11141.577,1063,000.0,351.2
4047.9,100517,'013855,11141.577,1063,000.0,351.2
4047.9,100517,'013856,11141.577,1063,000.0,351.2
4047.9,100517,'013857,11141.577,1063,000.0,351.2
4047.9,100517,'013858,11141.577,1063,000.0,351.2
4047.9,100517,'013859,11141.577,1063,000.0,351.2
4047.9,100517,'013900,11141.577,1063,000.0,351.2
4047.9,100517,'013901,11141.577,1063,000.0,351.2
4047.9,100517,'013902,11141.577,1063,000.0,351.2
4047.9,100517,'013903,11141.577,1063,000.0,351.2
4047.9,100517,'013904,11141.577,1063,000.0,351.2
4047.9,100517,'013905,11141.577,1063,000.0,351.2
4047.9,100517,'013906,11141.577,1063,000.0,351.2
4047.9,100517,'013907,11141.577,1063,000.0,351.2
4047.9,100517,'013908,11141.577,1063,000.0,351.2
4047.9,100517,'013909,11141.577,1063,000.0,351.2
4047.9,100517,'013910,11141.577,1063,000.0,351.2
4047.9,100517,'013911,11141.577,1063,000.0,351.2
4047.9,100517,'013912,11141.577,1063,000.0,351.2
4047.9,100517,'013913,11141.576,1063,002.5,323.8
4047.9,100517,'013914,11141.575,1063,006.0,324.5
4047.9,100517,'013915,11141.574,1063,008.0,325.9
4047.9,100517,'013916,11141.573,1063,009.2,326.8
4047.9,100517,'013917,11141.572,1063,011.8,328.2
4047.9,100517,'013918,11141.570,1063,012.3,329.7
4047.9,100517,'013919,11141.569,1063,011.1,331.0
4047.9,100517,'013920,11141.567,1063,010.6,332.2
4047.9,100517,'013921,11141.566,1063,008.9,333.4
4048.0,100517,'013922,11141.565,1064,006.9,334.3
4048.0,100517,'013923,11141.564,1064,007.8,335.2
4048.0,100517,'013924,11141.562,1065,009.1,336.0
4048.0,100517,'013925,11141.560,1066,009.9,336.9
4048.0,100517,'013926,11141.559,1066,010.3,337.6
4048.0,100517,'013927,11141.557,1067,012.2,339.7
4048.0,100517,'013928,11141.555,1067,013.7,340.9
4048.0,100517,'013929,11141.554,1068,014.5,341.7
4048.0,100517,'013930,11141.552,1069,014.6,342.2
4048.0,100517,'013931,11141.550,1069,014.1,342.3
4048.0,100517,'013931,11141.550,1069,014.1,342.3
4048.0,100517,'013932,11141.549,1069,012.4,341.9
4048.0,100517,'013933,11141.547,1069,009.5,341.9
4048.0,100517,'013934,11141.546,1069,007.8,341.7
4048.0,100517,'013935,11141.545,1068,008.7,342.2
4048.0,100517,'013936,11141.544,1069,010.5,342.2
4048.0,100517,'013937,11141.543,1069,010.9,341.7
4048.0,100517,'013938,11141.541,1068,011.2,340.9
4048.0,100517,'013939,11141.540,1068,012.1,339.6
4048.0,100517,'013940,11141.538,1067,014.5,338.2
4048.0,100517,'013941,11141.535,1067,016.8,337.5
4048.0,100517,'013942,11141.533,1067,017.4,338.0
4048.0,100517,'013944,11141.529,1067,015.4,339.2
4048.0,100517,'013945,11141.527,1067,016.1,341.1
4048.0,100517,'013946,11141.526,1068,017.1,343.0
4048.0,100517,'013946,11141.526,1068,017.1,343.0
4048.0,100517,'013948,11141.523,1068,019.9,345.9
4048.0,100517,'013948,11141.523,1069,019.9,345.9
4048.1,100517,'013950,11141.519,1069,020.2,346.0
4048.1,100517,'013950,11141.519,1070,020.2,346.0
4048.1,100517,'013951,11141.516,1070,020.4,345.7
4048.1,100517,'013952,11141.513,1070,021.3,345.4
4048.1,100517,'013953,11141.510,1070,021.4,344.6
4048.1,100517,'013955,11141.505,1070,021.7,342.0
4048.1,100517,'013955,11141.505,1069,021.7,342.0
4048.1,100517,'013956,11141.502,1069,022.6,341.1
4048.1,100517,'013957,11141.499,1070,021.6,340.5
4048.1,100517,'013958,11141.496,1070,020.0,340.5
4048.1,100517,'013959,11141.494,1070,019.0,341.6
4048.1,100517,'014000,11141.492,1070,018.7,343.0
4048.1,100517,'014002,11141.488,1070,018.6,343.7
4048.1,100517,'014002,11141.488,1069,018.6,343.7
4048.1,100517,'014004,11141.483,1069,018.9,341.3
4048.1,100517,'014004,11141.483,1070,018.9,341.3
4048.1,100517,'014005,11141.481,1069,018.9,340.1
4048.1,100517,'014006,11141.478,1069,018.3,340.0
4048.1,100517,'014007,11141.476,1069,018.3,340.2
4048.1,100517,'014008,11141.473,1069,017.9,340.5
4048.2,100517,'014009,11141.471,1070,017.9,341.2
4048.2,100517,'014010,11141.469,1070,017.7,341.3
4048.2,100517,'014011,11141.466,1070,017.4,341.1
4048.2,100517,'014012,11141.464,1070,016.8,341.3
4048.2,100517,'014013,11141.462,1070,016.8,342.1
4048.2,100517,'014014,11141.460,1070,017.2,342.3
4048.2,100517,'014016,11141.455,1071,019.9,340.2
4048.2,100517,'014016,11141.455,1070,019.9,340.2
4048.2,100517,'014017,11141.452,1071,020.1,339.4
4048.2,100517,'014019,11141.447,1071,018.3,339.5
4048.2,100517,'014019,11141.447,1071,018.3,339.5
4048.2,100517,'014020,11141.445,1071,016.4,340.6
4048.2,100517,'014022,11141.441,1071,013.2,340.4
4048.2,100517,'014022,11141.441,1071,013.2,340.4
4048.2,100517,'014023,11141.439,1071,011.1,339.8
4048.2,100517,'014024,11141.438,1071,009.0,339.6
4048.2,100517,'014025,11141.438,1071,005.6,340.3
4048.2,100517,'014026,11141.438,1070,002.9,340.6
4048.2,100517,'014028,11141.438,1070,000.1,340.9
4048.2,100517,'014029,11141.438,1070,000.1,340.9
4048.2,100517,'014029,11141.438,1070,000.1,340.9
4048.2,100517,'014030,11141.438,1070,000.0,340.9
